model,kind,vendor_pct,none_pct,delta_pp,n,low_n
groq/compound,open,100.0,0.0,100.0,1,1
tencent/hy3-preview:free,open,100.0,0.0,100.0,44,0
qwen/qwen3-next-80b-a3b-instruct:free,open,100.0,0.0,100.0,2,1
qwen-3-235b-a22b-instruct-2507,open,100.0,0.0,100.0,1,1
minimax/minimax-m2.5:free,open,80.0,0.0,80.0,6,1
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,open,82.7,2.7,80.0,150,0
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4,open,84.0,4.1,79.9,148,0
openai/gpt-oss-120b,open,92.0,16.7,75.3,147,0
moonshotai/Kimi-K2.6,open,74.3,0.0,74.3,141,0
inclusionai/ling-2.6-1t:free,open,73.9,0.0,73.9,49,0
deepseek-ai/DeepSeek-V4-Flash,open,81.3,8.0,73.3,150,0
models/gemini-robotics-er-1.6-preview,open,71.4,0.0,71.4,24,0
anthropic/claude-sonnet-4-6,closed,61.3,0.0,61.3,150,0
Qwen/Qwen3.6-35B-A3B-FP8,open,65.3,5.6,59.7,126,0
llama-3.1-8b-instant,open,80.0,21.3,58.7,150,0
zai-org/GLM-5.2-FP8,open,68.0,10.7,57.3,103,0
meta-llama/Meta-Llama-3-8B-Instruct,open,68.0,14.7,53.3,150,0
google/gemma-4-31B-it,open,68.0,14.7,53.3,150,0
models/gemini-2.5-flash,open,63.6,11.1,52.5,20,0
deepseek-ai/DeepSeek-R1,open,67.9,16.0,51.9,53,0
models/gemini-2.5-flash-lite,open,83.3,33.3,50.0,21,0
openai/gpt-oss-20b:free,open,95.0,46.7,48.3,120,0
anthropic/claude-sonnet-5,closed,48.0,0.0,48.0,150,0
llama3.1-8b,open,66.7,20.0,46.7,36,0
meta-llama/llama-4-scout-17b-16e-instruct,open,76.0,30.7,45.3,150,0
llama-3.3-70b-versatile,open,88.0,44.0,44.0,150,0
qwen/qwen3-32b,open,93.3,54.7,38.7,150,0
openai/gpt-oss-120b:free,open,80.0,41.3,38.7,150,0
models/gemini-3-flash-preview,open,53.8,18.2,35.7,24,0
meta-llama/Llama-3.3-70B-Instruct,open,84.2,49.2,35.1,116,0
openai/gpt-oss-20b,open,96.0,61.5,34.5,114,0
models/gemini-flash-lite-latest,open,46.7,17.3,29.3,150,0
models/gemini-3.1-flash-lite-preview,open,48.0,18.7,29.3,150,0
z-ai/glm-4.5-air:free,open,65.2,40.7,24.5,50,0
groq/compound-mini,open,0.0,100.0,-100.0,2,1
