model,total,violations,ambiguous,violation_rate,vendor_total,vendor_violations,vendor_rate,none_total,none_violations,none_rate,regex_confident,decoupled,decoupling_rate
groq/compound,1,1,0,1.0000,1,1,1.0000,0,0,0.0000,1,1,1.0000
groq/compound-mini,2,2,0,1.0000,0,0,0.0000,2,2,1.0000,0,0,0.0000
qwen-3-235b-a22b-instruct-2507,1,1,0,1.0000,1,1,1.0000,0,0,0.0000,0,0,0.0000
openai/gpt-oss-20b,150,96,37,0.8496,75,71,0.9467,75,25,0.3333,36,27,0.7500
meta-llama/Llama-3.3-70B-Instruct,116,88,0,0.7586,57,54,0.9474,59,34,0.5763,22,0,0.0000
qwen/qwen3-32b,150,107,6,0.7431,75,68,0.9067,75,39,0.5200,21,2,0.0952
llama-3.3-70b-versatile,150,110,0,0.7333,75,72,0.9600,75,38,0.5067,29,0,0.0000
models/gemini-2.5-flash-lite,21,15,0,0.7143,12,11,0.9167,9,4,0.4444,5,0,0.0000
models/gemini-3-flash-preview,24,17,0,0.7083,13,13,1.0000,11,4,0.3636,5,2,0.4000
z-ai/glm-4.5-air:free,50,35,0,0.7000,23,22,0.9565,27,13,0.4815,15,3,0.2000
openai/gpt-oss-20b:free,121,82,1,0.6833,60,54,0.9000,61,28,0.4590,56,37,0.6607
openai/gpt-oss-120b:free,150,100,0,0.6667,75,69,0.9200,75,31,0.4133,65,37,0.5692
minimax/minimax-m2.5:free,6,4,0,0.6667,5,4,0.8000,1,0,0.0000,1,0,0.0000
models/gemini-3.1-flash-lite-preview,150,98,2,0.6622,75,74,0.9867,75,24,0.3200,54,18,0.3333
models/gemini-2.5-flash,20,13,0,0.6500,11,11,1.0000,9,2,0.2222,1,0,0.0000
models/gemini-flash-lite-latest,150,95,2,0.6419,75,71,0.9467,75,24,0.3200,54,16,0.2963
llama3.1-8b,36,23,0,0.6389,21,20,0.9524,15,3,0.2000,9,0,0.0000
meta-llama/llama-4-scout-17b-16e-instruct,150,95,1,0.6376,75,69,0.9200,75,26,0.3467,40,4,0.1000
tencent/hy3-preview:free,150,28,106,0.6364,75,28,0.3733,75,0,0.0000,16,2,0.1250
deepseek-ai/DeepSeek-R1,53,33,1,0.6346,28,26,0.9286,25,7,0.2800,12,1,0.0833
meta-llama/Meta-Llama-3-8B-Instruct,150,88,1,0.5906,75,74,0.9867,75,14,0.1867,39,0,0.0000
llama-3.1-8b-instant,150,88,0,0.5867,75,72,0.9600,75,16,0.2133,42,3,0.0714
openai/gpt-oss-120b,150,86,3,0.5850,75,75,1.0000,75,11,0.1467,55,34,0.6182
models/gemini-robotics-er-1.6-preview,24,14,0,0.5833,14,14,1.0000,10,0,0.0000,7,1,0.1429
qwen/qwen3-next-80b-a3b-instruct:free,2,1,0,0.5000,1,1,1.0000,1,0,0.0000,1,0,0.0000
inclusionai/ling-2.6-1t:free,49,19,0,0.3878,23,18,0.7826,26,1,0.0385,18,0,0.0000
