model,kind,vendor_pct,none_pct,delta_pp,n,low_n
groq/compound,open,100.0,0.0,100.0,1,1
qwen/qwen3-next-80b-a3b-instruct:free,open,100.0,0.0,100.0,2,1
tencent/hy3-preview:free,open,82.1,0.0,82.1,44,0
minimax/minimax-m2.5:free,open,80.0,0.0,80.0,6,1
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4,open,82.7,4.1,78.6,148,0
moonshotai/Kimi-K2.6,open,73.0,0.0,73.0,141,0
models/gemini-robotics-er-1.6-preview,open,71.4,0.0,71.4,24,0
inclusionai/ling-2.6-1t:free,open,65.2,0.0,65.2,49,0
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,open,66.7,2.7,64.0,150,0
anthropic/claude-sonnet-4-6,closed,61.3,0.0,61.3,150,0
openai/gpt-oss-120b,open,77.3,16.7,60.7,147,0
llama3.1-8b,open,57.1,0.0,57.1,36,0
zai-org/GLM-5.2-FP8,open,66.7,10.7,56.0,103,0
llama-3.1-8b-instant,open,64.0,9.3,54.7,150,0
deepseek-ai/DeepSeek-V4-Flash,open,61.3,8.0,53.3,150,0
google/gemma-4-31B-it,open,68.0,14.7,53.3,150,0
Qwen/Qwen3.6-35B-A3B-FP8,open,52.8,5.6,47.2,126,0
anthropic/claude-sonnet-5,closed,46.7,0.0,46.7,150,0
meta-llama/Meta-Llama-3-8B-Instruct,open,48.0,2.7,45.3,150,0
qwen/qwen3-32b,open,82.7,38.7,44.0,150,0
models/gemini-2.5-flash,open,54.5,11.1,43.4,20,0
models/gemini-3-flash-preview,open,53.8,18.2,35.7,24,0
openai/gpt-oss-120b:free,open,74.7,41.3,33.3,150,0
meta-llama/llama-4-scout-17b-16e-instruct,open,60.0,26.7,33.3,150,0
llama-3.3-70b-versatile,open,52.0,20.0,32.0,150,0
models/gemini-flash-lite-latest,open,46.7,17.3,29.3,150,0
models/gemini-3.1-flash-lite-preview,open,48.0,18.7,29.3,150,0
meta-llama/Llama-3.3-70B-Instruct,open,52.6,23.7,28.9,116,0
deepseek-ai/DeepSeek-R1,open,42.9,16.0,26.9,53,0
openai/gpt-oss-20b:free,open,73.3,46.7,26.7,120,0
models/gemini-2.5-flash-lite,open,58.3,33.3,25.0,21,0
z-ai/glm-4.5-air:free,open,52.2,33.3,18.8,50,0
openai/gpt-oss-20b,open,80.0,61.5,18.5,114,0
qwen-3-235b-a22b-instruct-2507,open,0.0,0.0,0.0,1,1
groq/compound-mini,open,0.0,100.0,-100.0,2,1
